invariant_id,sub_spec_phase_tag,evidence
INV-013,S25,cited
INV-014,S25,cited
INV-017,S25,cited
INV-024,S25,cited
INV-026,S25,cited
INV-027,S25,cited
INV-032,S25,cited
INV-001,S26,cited
INV-002,S26,cited
INV-005,S26,cited
INV-012,S26,cited
INV-013,S26,cited
INV-014,S26,cited
INV-017,S26,cited
INV-027,S26,cited
INV-033,S26,cited
INV-002,S27,cited
INV-010,S27,cited
INV-014,S27,cited
INV-015,S27,cited
INV-016,S27,cited
INV-028,S27,cited
INV-001,S28,cited
INV-005,S28,cited
INV-008,S28,cited
INV-012,S28,cited
INV-014,S28,cited
INV-017,S28,cited
INV-027,S28,cited
INV-034,S28,cited
