wire_name,sub_spec_phase_tag,mention_count
CLI_RENDER_STARTED,S7.6,9
CLI_SCRIPTING_MODE_INVOKED,S7.6,5
CLI_TRUST_INDICATOR_REORDERED,S7.6,7
COMPONENT_RESTARTED,S14.1,3
COMPONENT_RESTART_BUDGET_EXHAUSTED,S14.1,6
COMPONENT_RESTART_BUDGET_EXHAUSTED,S15.1,2
CONFLICT_EVENT,S1.3,1
CROSS_GROUP_ACCESS_DENIED,S12.2,2
CROSS_GROUP_ACCESS_DENIED,S3.2,2
CROSS_GROUP_ACCESS_DENIED,S4.1,4
CROSS_SURFACE_READ_DENIED,S7.1,5
CROSS_SURFACE_READ_DENIED,S7.4,2
CROSS_SURFACE_READ_DENIED,S8.2,1
CROSS_ZONE_VIOLATION_ATTEMPTED,S2.4,1
CROSS_ZONE_VIOLATION_ATTEMPTED,S7.1,4
DEGRADATION_LEVEL_TRANSITIONED,S14.1,8
DEPENDENCY_CYCLE_DETECTED,S15.2,8
DEVICE_DETECTED,S8.3,3
DEVICE_DISCONNECTED,S8.3,4
DEVICE_DRIVER_BOUND,S2.3,1
DEVICE_DRIVER_BOUND,S8.3,7
DEVICE_DRIVER_REJECTED,S8.3,2
DEVICE_QUARANTINED,S10.1,1
DEVICE_QUARANTINED,S2.3,1
DEVICE_QUARANTINED,S8.3,2
DNS_PLAIN_BLOCKED,S8.4,4
DNS_QUERY_PERFORMED,S8.4,6
DNS_RESOLVER_REBINDING_DETECTED,S8.4,1
DNS_RESOLVER_SUBSTITUTION_REJECTED,S8.4,5
DRIVER_UNAVAILABLE,S8.2,3
DRY_RUN_SIMULATION_RECORDED,S10.1,2
E2E_PASSED,S13.1,1
E2E_PASSED,S6.2,5
E2E_PASSED,S6.3,4
E2E_PASSED,S6.4,1
EMERGENCY_OVERRIDE_GRANT,S5.4,1
EXECUTION_COMPLETED,S5.3,1
EXECUTION_COMPLETED,S5.4,1
EXECUTION_FAILED,S0.3,2
EXECUTION_FAILED,S10.1,2
EXECUTION_FAILED,S6.3,1
EXECUTION_STARTED,S0.3,4
EXECUTION_STARTED,S5.3,1
EXECUTION_STARTED,S5.4,3
EXECUTION_SUCCEEDED,S0.3,4
EXECUTION_SUCCEEDED,S10.1,5
EXECUTION_SUCCEEDED,S6.3,7
EXECUTION_VERIFICATION_FAILED,S10.1,7
EXECUTION_VERIFICATION_FAILED,S8.5,2
EXECUTION_VERIFICATION_FAILED,S9.3,2
EXPERIMENTAL_ADAPTER_LIVE_DISPATCH,S10.1,3
EXPERIMENTAL_ADAPTER_LIVE_DISPATCH,S15.3,1
EXPOSURE_DENIED,S8.1,2
EXPOSURE_GRANTED,S8.1,5
EXPOSURE_REQUESTED,S8.1,3
EXPOSURE_REVOKED,S8.1,3
EXPOSURE_TERMINATED_TTL_EXPIRED,S8.1,2
EXTERNAL_BRIDGE_PACKAGE_ADMITTED,S11.1,2
EXTERNAL_BRIDGE_UPSTREAM_SIGNATURE_FAILED,S11.1,2
EXTERNAL_MODEL_CALL_BROKERED,S13.1,1
EXTERNAL_MODEL_CALL_BROKERED,S13.2,5
EXTERNAL_MODEL_CALL_BROKERED,S2.4,1
EXTERNAL_MODEL_CALL_BROKERED,S8.1,3
FAILURE_OBSERVED,S14.1,31
FAILURE_OBSERVED,S14.2,2
FAILURE_OBSERVED_RATE_LIMITED,S14.1,1
FIRMWARE_APPLIED,S4.1,1
FIRMWARE_APPLIED,S8.5,9
FIRMWARE_APPLY_FAILED,S8.5,7
FIRMWARE_DOWNGRADE_BLOCKED,S8.5,5
FIRMWARE_ROLLBACK_PERFORMED,S8.5,6
FIRMWARE_TAMPER_DETECTED,S8.5,13
FIRMWARE_TAMPER_DETECTED,S9.1,3
FIRMWARE_UNSIGNED_REJECTED,S8.5,3
FIRMWARE_UPDATE_REQUESTED,S8.5,3
FIRMWARE_VENDOR_DEPLATFORMED,S8.5,4
FIRMWARE_VERIFICATION_FAILED,S8.5,8
FIRMWARE_VERIFICATION_PASSED,S8.5,4
FIRMWARE_VERSION_DOWNGRADE_BLOCKED,S8.3,5
FIRST_BOOT_COMPLETE,S4.1,1
FIRST_BOOT_COMPLETE,S9.1,1
FIRST_BOOT_COMPLETE,S9.2,9
FIRST_BOOT_FAILED,S9.2,6
FIRST_BOOT_OPERATION,S2.3,3
FIRST_BOOT_OPERATION,S2.4,3
FIRST_BOOT_OPERATION,S6.4,1
FIRST_BOOT_OPERATION,S9.1,3
FIRST_BOOT_STAGE_COMPLETED,S9.2,6
FIRST_BOOT_STARTED,S9.1,1
FIRST_BOOT_STARTED,S9.2,7
FIRST_GROUP_REGISTERED,S9.2,6
FIRST_USER_REGISTERED,S9.2,5
GC_PASS,S0.3,1
GPU_BINDING_FORGERY,S8.2,2
GPU_BUDGET_DOWNGRADED,S6.5,2
